NOTE: the film was annealed, Temperature and rates are not reported in the article

Thick: 3.96

wl	n
1.505	10.12875435
1.510	10.16466317
1.515	10.20055492
1.520	10.23642964
1.525	10.27228737
1.530	10.30812816
1.535	10.34395204
1.540	10.37975905
1.545	10.41554923
1.550	10.45132262
1.555	10.48707924
1.560	10.52281915
1.565	10.55854236
1.570	10.59424892
1.575	10.62993885
1.580	10.66561219
1.585	10.70126897
1.590	10.73690922
1.595	10.77253296
1.600	10.80814024
1.605	10.84373106
1.610	10.87930548
1.615	10.91486350
1.620	10.95040515
1.625	10.98593047
1.630	11.02143948
1.635	11.05693219
1.640	11.09240864
1.645	11.12786885
1.650	11.16331283
1.655	11.19874062
1.660	11.23415223
1.665	11.26954769
1.670	11.30492701
1.675	11.34029021
1.680	11.37563732
1.685	11.41096835
1.690	11.44628333
1.695	11.48158226
1.700	11.51686517
1.705	11.55213207
1.710	11.58738299
1.715	11.62261793
1.720	11.65783691
1.725	11.69303995
1.730	11.72822707
1.735	11.76339827
1.740	11.79855357
1.745	11.83369299
1.750	11.86881654
1.755	11.90392423
1.760	11.93901607
1.765	11.97409208
1.770	12.00915227
1.775	12.04419665
1.780	12.07922523
1.785	12.11423803
1.790	12.14923504
1.795	12.18421629
1.800	12.21918179
