Thick: 4.1


wl	n
2.51	12.403
2.52	12.463
2.53	12.530
2.54	12.595
2.55	12.664
2.56	12.691
2.57	12.719
2.58	12.769
2.59	12.833
2.6	12.880
2.61	12.935
2.62	12.976
2.63	13.006
2.64	13.073
2.65	13.138
2.66	13.160
2.67	13.214
2.68	13.282
2.69	13.331
2.7	13.369
2.71	13.442
2.72	13.533
2.73	13.538
2.74	13.579
2.75	13.666
2.76	13.726
2.77	13.783
2.78	13.827
2.79	13.850
2.8	13.919
2.81	13.960
2.82	14.007
2.83	14.050
2.84	14.125
2.85	14.192
2.86	14.254
2.87	14.284
2.88	14.289
2.89	14.342
2.9	14.366
2.91	14.464
2.92	14.517
2.93	14.542
2.94	14.588
2.95	14.653
2.96	14.720
2.97	14.771
2.98	14.804
2.99	14.826
3	14.860
3.01	14.927
3.02	15.012
3.03	15.090
3.04	15.142
3.05	15.196
3.06	15.242
3.07	15.280
3.08	15.317
3.09	15.381
3.1	15.445
3.11	15.486
3.12	15.526
3.13	15.550
3.14	15.590
3.15	15.685
3.16	15.759
3.17	15.797
3.18	15.815
3.19	15.884
3.2	15.932
3.21	16.028
3.22	16.067
3.23	16.119
3.24	16.128
3.25	16.186
3.26	16.234
3.27	16.318
3.28	16.394
3.29	16.346
3.3	16.498
